DPF engine_size PM_emission
A 7.4 90
B 13.6 115
B 15.4 128
A 9.9 106
C 8.2 109
A 12.2 122
B 11.8 105
B 12.8 103
A 7.1 84
A 10.9 113
B 15.4 137
C 8.7 96
B 14.2 134
A 9.5 80
B 16.6 124
A 9.9 106
A 7.2 67
A 12.1 108
C 12.4 91
B 13.2 112
A 11.1 107
A 7.3 85
B 10.8 118
B 15.3 114
A 10.3 104
A 9.5 116
B 11.3 98
B 12.6 113
A 14.6 131
B 17.4 139
A 10.1 104
A 11.7 107
A 11.5 98
A 14.2 126
C 12.7 111
C 16.2 127
A 8.2 82
A 9.1 78
B 14.5 129
C 10.5 100
A 10.4 85
A 7.8 92
B 17.8 150
A 7.8 85
B 17.1 114
B 12.9 128
A 12.3 102
A 7.9 99
B 16.1 137
A 12 122
A 10.1 102
B 14.4 139
C 9.4 95
C 12.1 123
B 16.5 149
A 12.8 111
A 14.9 136
C 12.3 123
B 13.2 106
B 15.2 129
A 12.7 108
A 12.7 123
C 15.1 135
A 10.2 109
B 17.1 115
A 9.6 96
A 13.5 124
B 14 114
A 7.9 74
C 13.7 120
A 7.1 84
A 13.7 124
A 7.1 66
B 17.3 164
C 8.3 96
A 7.5 90
C 14.6 118
C 13.8 131
A 11.7 129
A 10.7 100
